с. Ближний Хутор	Bluchniy_xytor
с. Глиное	Glinoe
г. Днестровск	Dnestrovsk
с. Карагаш	Karagazh
с. Кицканы	Kickany
с. Константиновка	Konstantinovka
с. Копанка	Kopanka
с. Коротное	Korotnoe
п. Красное	Krasnoe
с. Кременчуг	Kremenchyg
с. Незавертайловка	Nezavertaylovka
с. Никольское	Nikolaevskoe
с. Ново-Котовск	Novo-kotovsk
с. Парканы	parkani
п. Первомайск	Pervomaysk
с. Приозерное	Priozernoe
г. Слободзея	Slododzea
с. Суклея	Syklea
с. Терновка	Ternovka
с. Фрунзе	Frunze
с. Чобручи	Chobrychi
Прочие	Slobodzea_full
